TOKEN	TYPE	COUNT	RATIO	FORMAT	CASE	LENGTH	INDEXES
Autor	autor	1	0.003367	W	S	5	252
cada	cada	3	0.010101	W	L	4	29,59,236
feitos	feitos	1	0.003367	W	L	6	157
dos	dos	3	0.010101	W	L	3	108,156,292
próximos	proximos	3	0.010101	W	L	8	12,20,227
A	a	3	0.010101	W	S	1	15,170,222
Contudo	contudo	1	0.003367	W	S	7	104
volumes	volumes	1	0.003367	W	L	7	97
da	da	5	0.016835	W	L	2	53,67,141,173,253
Advogados	advogados	1	0.003367	W	S	9	266
Direito	direito	4	0.013468	W	S	7	256,271,284,291
grandes	grandes	1	0.003367	W	L	7	211
diversos	diversos	1	0.003367	W	L	8	72
de	de	15	0.0505051	W	L	2	4,42,44,69,79,125,133,149,154,160,166,178,183,192,201
grande	grande	1	0.003367	W	L	6	171
coluna	coluna	1	0.003367	W	L	6	254
extrair	extrair	1	0.003367	W	L	7	196
deslocamento	deslocamento	1	0.003367	W	L	12	167
tecnológica	tecnologica	2	0.00673401	W	L	11	32,239
vantagens	vantagens	1	0.003367	W	L	9	140
um	um	3	0.010101	W	L	2	25,197,232
todo	todo	2	0.00673401	W	L	4	26,233
M	m	1	0.003367	W	S	1	248
possam	possam	1	0.003367	W	L	6	213
conseguem	conseguem	1	0.003367	W	L	9	195
resumem	resumem	1	0.003367	W	L	7	146
acesso	acesso	2	0.00673401	W	L	6	161,179
atualmente	atualmente	1	0.003367	W	L	10	116
papel	papel	2	0.00673401	W	L	5	90,150
advocacia	advocacia	4	0.013468	W	L	9	10,23,54,230
possibilidade	possibilidade	1	0.003367	W	L	13	177
menos	menos	1	0.003367	W	L	5	78
O	o	1	0.003367	W	S	1	51
do	do	1	0.003367	W	L	2	262
bases	bases	1	0.003367	W	L	5	182
razão	razao	1	0.003367	W	L	5	66
eficiente	eficiente	2	0.00673401	W	L	9	34,241
passando	passando	1	0.003367	W	L	8	56
processos	processos	4	0.013468	W	L	9	86,94,109,120
anos	anos	4	0.013468	W	L	4	13,21,81,228
tramitando	tramitando	1	0.003367	W	L	10	131
eletrônica	eletronica	1	0.003367	W	L	10	135
informações	informacoes	1	0.003367	W	L	11	202
gigantescos	gigantescos	1	0.003367	W	L	11	93
não	nao	1	0.003367	W	L	3	144
tem	tem	1	0.003367	W	L	3	110
nos	nos	3	0.010101	W	L	3	11,19,226
jurídicas	juridicas	1	0.003367	W	L	9	217
a	a	6	0.020202	W	L	1	9,22,106,176,180,229
<eol>	<eol>	11	0.037037	NA	NA	5	14,38,46,50,75,103,137,221,245,251,297
medias	medias	1	0.003367	W	L	6	209
fundamentais	fundamentais	1	0.003367	W	L	12	204
dados	dados	1	0.003367	W	L	5	184
processo	processo	1	0.003367	W	L	8	163
e	e	6	0.020202	W	L	1	35,63,98,115,210,242
infinito	infinito	1	0.003367	W	L	8	200
tramitavam	tramitavam	1	0.003367	W	L	10	88
Negócios	negocios	2	0.00673401	W	S	8	258,293
rápidas	rapidas	1	0.003367	W	L	7	62
vantagem	vantagem	1	0.003367	W	L	8	172
meio	meio	1	0.003367	W	L	4	188
estratégias	estrategias	1	0.003367	W	L	11	216
número	numero	1	0.003367	W	L	6	198
eficiência	eficiencia	1	0.003367	W	L	10	219
pouco	pouco	1	0.003367	W	L	5	77
devem	devem	1	0.003367	W	L	5	7
digitais	digitais	1	0.003367	W	L	8	129
no	no	1	0.003367	W	L	2	123
Societário	societario	1	0.003367	W	S	10	285
Mackenzie	mackenzie	1	0.003367	W	S	9	273
frequentes	frequentes	1	0.003367	W	L	10	64
às	as	1	0.003367	W	L	2	48
Estado	estado	1	0.003367	W	S	6	124
Há	ha	1	0.003367	W	S	2	76
Pós-graduado	pos-graduado	1	0.003367	W	S	12	275
graduado	graduado	1	0.003367	W	L	8	269
advogado	advogado	1	0.003367	W	L	8	261
lenta	lenta	1	0.003367	W	L	5	101
tornado	tornado	1	0.003367	W	L	7	112
todos	todos	2	0.00673401	W	L	5	84,118
